,Zip Code,"Volume Sold (Liters), Total","Sale (Dollars), Total","Volume Sold (Liters), Average","Sale (Dollars), Average","Price Per Liter, Average","Margin, Total","Price Per Bottle, Average"
88,50322,18493.5,306181.73,7.7292681956,119.146630434,18.0283977127,102258.58,13.9033093623
89,50323,692.49,10488.62,6.13675194661,92.984705228,17.1654044835,3506.33,12.7804430849
90,50324,518.92,8161.2,3.50621621622,55.1432432432,18.6345596254,2722.96,7.93614864865
91,50325,3189.29,51047.67,5.82791736836,89.8976256767,18.4397201546,17045.09,13.1957463917
92,50327,1887.95,20142.38,20.0845744681,214.280638298,18.5581724179,6809.04,15.6795744681
93,50401,30080.37,394942.34,10.4961000864,134.792672315,16.6312551967,132325.84,13.8864476111
94,50421,1418.25,15601.95,12.1025373134,131.967544776,13.694341813,5210.63,14.1716791045
95,50423,1202.0,11825.21,10.9755952381,109.420952381,12.6514331066,3974.51,12.7767142857
96,50424,617.95,7338.96,8.35193965517,96.2011551724,14.4292799672,2455.56,12.8262327586
97,50428,11783.19,160419.3,7.71586503924,97.0677774676,16.8268198951,53599.38,15.4110382371
98,50435,1043.62,15528.97,10.0348076923,149.317019231,16.6792060681,5197.19,15.2647115385
99,50436,4789.33,56402.31,9.11559322596,108.135373832,15.1601526464,18848.15,15.0785275403
100,50438,1522.75,15712.9,10.5746527778,109.117361111,12.3397486772,5288.86,13.4664583333
101,50441,3906.87,48930.98,6.15727666045,82.6316476487,16.8644758737,16407.1,14.0188633366
102,50450,308.62,3350.21,12.8591666667,139.592083333,15.8588541667,1118.06,10.6858333333
103,50458,309.86,4288.75,7.37761904762,102.113095238,18.8827806122,1436.76,12.0488095238
104,50459,2088.49,23535.8,8.25789592244,92.2287852866,14.4735940255,7873.37,14.0435223838
105,50461,2212.76,25308.91,3.44701185719,39.0695202458,15.7409001235,8479.36,13.3218337638
106,50466,199.5,2334.69,7.125,83.3817857143,13.2742006803,778.56,13.7703571429
107,50469,633.37,7721.08,4.4919858156,54.7594326241,13.020765122,2587.53,12.8876595745
108,50472,987.25,11801.35,7.96169354839,95.1721774194,15.9237941628,3940.62,18.9432258065
109,50475,243.0,2808.42,11.0454545455,127.655454545,13.2104761905,938.58,10.5572727273
110,50483,1692.87,23243.51,12.0919285714,166.025071429,18.2878613946,7788.54,18.4165
111,50501,28505.94,376150.99,12.3749001363,154.851531766,16.4089362188,126267.08,14.0243637851
112,50511,9140.5,114572.53,11.3894120808,136.878998627,16.7864294588,38553.11,15.3367603636
113,50514,195.0,2116.44,13.9285714286,151.174285714,13.5212244898,705.9,9.90357142857
114,50517,2322.57,32827.2,7.16842592593,101.318518519,17.8993913023,10961.84,16.3495061728
115,50525,1045.4,12763.91,9.11046594982,113.400379928,14.6325512886,4270.81,12.6085268817
116,50529,200.1,1972.92,11.7705882353,116.054117647,14.1529411765,658.62,7.73647058824
117,50530,417.75,5514.88,6.32954545455,83.5587878788,15.2394083694,1845.1,15.2077272727
118,50533,2969.9,33728.14,11.206261343,129.440076225,15.5596129116,11436.88,13.85876951
119,50535,204.9,2447.58,7.88076923077,94.1376923077,13.9728754579,821.1,10.5403846154
120,50536,3450.65,45801.98,7.81887272064,108.343626989,15.5346298635,15300.91,14.2310460869
121,50541,165.0,1474.8,11.7857142857,105.342857143,12.8132653061,492.0,8.69714285714
122,50542,84.0,1026.24,12.0,146.605714286,13.1692517007,347.88,11.0957142857
123,50543,659.85,9310.22,4.4887755102,63.334829932,18.5077000324,3109.04,16.3156462585
124,50548,3427.02,46305.98,8.35450191101,105.14040885,15.3555678587,15516.54,14.3878093552
125,50554,986.87,9635.34,7.15123188406,69.8213043478,12.4009256384,3226.48,12.5824637681
126,50563,492.62,6387.86,5.35456521739,69.4332608696,14.3289518634,2132.45,12.7917391304
127,50569,154.5,1860.06,8.13157894737,97.8978947368,12.9162907268,621.36,8.83789473684
128,50574,1995.84,21527.77,8.17967213115,88.2285655738,15.5706099778,7295.01,13.5840163934
